,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,16.0,,,11.0,1.0,[234],['ID4820'],Role 1,,Role_1,,Packing
1,,15.0,,,0.0,1.0,[192],['ID4163'],Role 2,,Role_2,,Final Inspection Q.C.
2,,15.0,,,12.0,1.0,[215],['ID4618'],Role 3,,Role_3,,Turning & Milling Q.C.
3,,18.0,,,4.0,1.0,[178],['ID4794'],Role 4,,Role_4,,Turning & Milling
4,,19.0,,,15.0,1.0,[160],['ID4385'],Role 5,,Role_5,,Round Grinding
5,,18.0,,,19.0,1.0,[44],['ID4219'],Role 6,,Role_6,,Turning
6,,15.0,,,22.0,1.0,[29],['ID4287'],Role 7,,Role_7,,Turning Q.C.
7,,14.0,,,21.0,1.0,[10],['ID4326'],Role 8,,Role_8,,Milling
8,,18.0,,,18.0,1.0,[58],['ID0998'],Role 9,,Role_9,,Flat Grinding
9,,18.0,,,2.0,1.0,[143],['ID0998'],Role 10,,Role_10,,Laser Marking
10,,18.0,,,3.0,1.0,[185],['ID0998'],Role 11,,Role_11,,Lapping
11,,18.0,,,1.0,1.0,[3],['ID4932'],Role 12,,Role_12,,SETUP     Turning & Milling
12,,19.0,,,6.0,1.0,[42],['ID4528'],Role 13,,Role_13,,Grinding Rework
13,,22.0,,,20.0,1.0,[2],['ID3998'],Role 14,,Role_14,,Stress Relief
14,,18.0,,,17.0,1.0,[1],['ID4932'],Role 15,,Role_15,,Setup
15,,19.0,,,16.0,1.0,[2],['ID4445'],Role 16,,Role_16,,Fix
16,,15.0,,,7.0,1.0,[2],['ID4493'],Role 17,,Role_17,,Round  Q.C.
17,,18.0,,,13.0,1.0,[12],['ID4641'],Role 18,,Role_18,,Turn & Mill. & Screw Assem
18,,15.0,,,10.0,1.0,[2],['ID4618'],Role 19,,Role_19,,Nitration Q.C.
19,,15.0,,,5.0,1.0,[1],['ID4287'],Role 20,,Role_20,,Milling Q.C.
20,,19.0,,,14.0,1.0,[3],['ID4442'],Role 21,,Role_21,,Turning Rework
21,,15.0,,,8.0,1.0,[1],['ID4493'],Role 22,,Role_22,,Final Inspection
22,,15.0,,,9.0,1.0,[2],['ID4890'],Role 23,,Role_23,,Change Version
0,,16.0,16.0,842400.0,,,,ID4820,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
