,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,18.0,,,14.0,1.0,[17],['8824'],Role 1,,Role_1,,Traer informacion estudiante - banner
1,,18.0,,,13.0,1.0,[17],['8824'],Role 2,,Role_2,,Radicar Solicitud Homologacion
2,,18.0,,,4.0,1.0,[98],['677'],Role 3,,Role_3,,Validar solicitud
3,,18.0,,,5.0,1.0,[64],['3445'],Role 4,,Role_4,,Homologacion por grupo de cursos
4,,18.0,,,0.0,1.0,[53],['19019'],Role 5,,Role_5,,Cancelar Solicitud
5,,18.0,,,7.0,1.0,[53],['19019'],Role 6,,Role_6,,Notificacion estudiante cancelacion soli
6,,18.0,,,15.0,1.0,[52],['677'],Role 7,,Role_7,,Revisar curso
7,,18.0,,,2.0,1.0,[21],['26757'],Role 8,,Role_8,,Evaluacion curso
8,,18.0,,,12.0,1.0,[29],['19019'],Role 9,,Role_9,,Validar solicitud / pre-homologacion
9,,18.0,,,11.0,1.0,[38],['677'],Role 10,,Role_10,,Validacion final
10,,18.0,,,8.0,1.0,[38],['3445'],Role 11,,Role_11,,Visto Bueno Cierre Proceso
11,,18.0,,,10.0,1.0,[13],['3445'],Role 12,,Role_12,,Transferir Creditos
12,,18.0,,,1.0,1.0,[18],['3445'],Role 13,,Role_13,,Transferir creditos homologables
13,,15.0,,,9.0,1.0,[14],['26789'],Role 14,,Role_14,,Recepcion de documentos
14,,15.0,,,6.0,1.0,[8],['26789'],Role 15,,Role_15,,Avanzar recepcion documentos
15,,18.0,,,3.0,1.0,[7],['22404'],Role 16,,Role_16,,Cancelar curso
0,,18.0,18.0,2706.0,,,,8824,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,18.0,18.0,2706.0,,,,8824,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,18.0,18.0,289637.0,,,,677,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,18.0,18.0,380769.0,,,,3445,Role 4,Role_4,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,18.0,18.0,460785.0,,,,19019,Role 5,Role_5,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,18.0,18.0,460785.0,,,,19019,Role 6,Role_6,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,18.0,18.0,289637.0,,,,677,Role 7,Role_7,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,18.0,18.0,78724.0,,,,26757,Role 8,Role_8,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,18.0,18.0,460785.0,,,,19019,Role 9,Role_9,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,18.0,18.0,289637.0,,,,677,Role 10,Role_10,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,18.0,18.0,380769.0,,,,3445,Role 11,Role_11,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
11,,18.0,18.0,380769.0,,,,3445,Role 12,Role_12,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
12,,18.0,18.0,380769.0,,,,3445,Role 13,Role_13,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
13,,15.0,15.0,417065.0,,,,26789,Role 14,Role_14,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
14,,15.0,15.0,417065.0,,,,26789,Role 15,Role_15,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
15,,18.0,18.0,242082.0,,,,22404,Role 16,Role_16,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
