type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload
Role_12,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,2.4619653E8,4160675.0,4291962.0,4223010.0,4193871.0,4241543.0,4222212.2,2.1111061E7,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,1.3677585E7,1.5209830536604232,1.5689765408147711,1.5437703366493427,1.5331182368817302,1.5505452899762642,1.5434786915965062,7.7173934579825305,Carmen Finacse,4.9239306E7,4291962,2735517,1.5689765408147711,Esmeralda Clay,4.9239306E7,4241543,2735517,1.5505452899762642,Karen Clarens,4.9239306E7,4223010,2735517,1.5437703366493427,Kiu Kan,4.9239306E7,4160675,2735517,1.5209830536604232,Sean Manney,4.9239306E7,4193871,2735517,1.5331182368817302,,,,,,,,,,,,,,,
Role_13,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,5.471034E8,1680.0,1740.0,1680.0,1680.0,1680.0,1687.5,13500.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2.1884136E7,6.14143505596931E-4,6.360772022253929E-4,6.14143505596931E-4,6.14143505596931E-4,6.14143505596931E-4,6.168852176754887E-4,0.00493508174140391,Clement Duchot,6.8387925E7,1740,2735517,6.360772022253929E-4,Miu Hanwan,6.8387925E7,1680,2735517,6.14143505596931E-4,Nico Ojenbeer,6.8387925E7,1680,2735517,6.14143505596931E-4,Fjodor Kowalski,6.8387925E7,1680,2735517,6.14143505596931E-4,Tesca Lobes,6.8387925E7,1680,2735517,6.14143505596931E-4,Anne Olwada,6.8387925E7,1680,2735517,6.14143505596931E-4,Immanuel Karagianni,6.8387925E7,1680,2735517,6.14143505596931E-4,Elvira Lores,6.8387925E7,1680,2735517,6.14143505596931E-4
Role_10,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,2.05163775E8,40685.0,44325.0,42809.0,40685.0,44325.0,42606.333333333336,127819.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,8206551.0,0.014872874122149488,0.01620351838427617,0.015649326982797036,0.014872874122149488,0.01620351838427617,0.015575239829740897,0.04672571948922269,Karel de Groot,6.8387925E7,44325,2735517,0.01620351838427617,Magdalena Predutta,6.8387925E7,40685,2735517,0.014872874122149488,Francois de Perrier,6.8387925E7,42809,2735517,0.015649326982797036,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,2.4619653E8,48630.0,57490.0,50763.0,49022.0,55820.0,52345.0,261725.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,1.3677585E7,0.01777726111736831,0.02101613698617117,0.018557004032510125,0.017920561268674258,0.020405649096678982,0.019135322500280567,0.09567661250140283,Carmen Finacse,4.9239306E7,50763,2735517,0.018557004032510125,Esmeralda Clay,4.9239306E7,57490,2735517,0.02101613698617117,Karen Clarens,4.9239306E7,49022,2735517,0.017920561268674258,Kiu Kan,4.9239306E7,48630,2735517,0.01777726111736831,Sean Manney,4.9239306E7,55820,2735517,0.020405649096678982,,,,,,,,,,,,,,,
Role_16,3.0090687E7,3.0090687E7,3.0090687E7,3.0090687E7,3.0090687E7,3.0090687E7,6.0181374E7,29712.0,30692.0,29712.0,29712.0,30692.0,30202.0,60404.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,5471034.0,0.010861566570414295,0.01121981694867917,0.010861566570414295,0.010861566570414295,0.01121981694867917,0.011040691759546733,0.022081383519093466,Pedro Alvares,3.0090687E7,29712,2735517,0.010861566570414295,Karalda Nimwada,3.0090687E7,30692,2735517,0.01121981694867917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.0090687E7,3.0090687E7,3.0090687E7,3.0090687E7,3.0090687E7,3.0090687E7,6.0181374E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,5471034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,3.0090687E7,0,2735517,0.0,Karalda Nimwada,3.0090687E7,0,2735517,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_14,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,2.05163775E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,8206551.0,0.0016450272471346366,0.0016450272471346366,0.0016450272471346366,0.0016450272471346366,0.0016450272471346366,0.0016450272471346366,0.00493508174140391,Karel de Groot,6.8387925E7,4500,2735517,0.0016450272471346366,Magdalena Predutta,6.8387925E7,4500,2735517,0.0016450272471346366,Francois de Perrier,6.8387925E7,4500,2735517,0.0016450272471346366,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,4.9239306E7,2.4619653E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,1.3677585E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,4.9239306E7,0,2735517,0.0,Esmeralda Clay,4.9239306E7,0,2735517,0.0,Karen Clarens,4.9239306E7,0,2735517,0.0,Kiu Kan,4.9239306E7,0,2735517,0.0,Sean Manney,4.9239306E7,0,2735517,0.0,,,,,,,,,,,,,,,
Role_9,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,2.05163775E8,2489035.0,2511832.0,2495989.0,2489035.0,2511832.0,2498952.0,7496856.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,8206551.0,0.9098956431270578,0.918229351161042,0.9124377585662966,0.9098956431270578,0.918229351161042,0.9135209176181321,2.7405627528543963,Karel de Groot,6.8387925E7,2511832,2735517,0.918229351161042,Magdalena Predutta,6.8387925E7,2495989,2735517,0.9124377585662966,Francois de Perrier,6.8387925E7,2489035,2735517,0.9098956431270578,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,6.8387925E7,2.05163775E8,103271.0,106009.0,104818.0,103271.0,106009.0,104699.33333333333,314098.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,2735517.0,8206551.0,0.037751913075298016,0.038752820764776826,0.038317436886701854,0.037751913075298016,0.038752820764776826,0.03827405690892557,0.1148221707267767,Karel de Groot,6.8387925E7,103271,2735517,0.037751913075298016,Magdalena Predutta,6.8387925E7,106009,2735517,0.038752820764776826,Francois de Perrier,6.8387925E7,104818,2735517,0.038317436886701854,,,,,,,,,,,,,,,,,,,,,,,,,
