type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload
Role_12,4.918545E7,4.918545E7,4.918545E7,4.918545E7,4.918545E7,4.918545E7,2.4592725E8,4187672.0,4291962.0,4214546.0,4193871.0,4223010.0,4222212.2,2.1111061E7,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,1.3662625E7,1.532528339173475,1.570694504167391,1.5423631988728375,1.534796936899022,1.5454607002680671,1.5451687358761583,7.725843679380792,Carmen Finacse,4.918545E7,4291962,2732525,1.570694504167391,Esmeralda Clay,4.918545E7,4187672,2732525,1.532528339173475,Karen Clarens,4.918545E7,4223010,2732525,1.5454607002680671,Kiu Kan,4.918545E7,4214546,2732525,1.5423631988728375,Sean Manney,4.918545E7,4193871,2732525,1.534796936899022,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E8,1320.0,1380.0,1320.0,1320.0,1380.0,1350.0,13500.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2.732525E7,4.830696882919644E-4,5.050274013961446E-4,4.830696882919644E-4,4.830696882919644E-4,5.050274013961446E-4,4.940485448440545E-4,0.004940485448440545,Clement Duchot,6.8313125E7,1380,2732525,5.050274013961446E-4,Anna Kaufmann,6.8313125E7,1380,2732525,5.050274013961446E-4,Miu Hanwan,6.8313125E7,1320,2732525,4.830696882919644E-4,Nico Ojenbeer,6.8313125E7,1380,2732525,5.050274013961446E-4,Fjodor Kowalski,6.8313125E7,1320,2732525,4.830696882919644E-4,Tesca Lobes,6.8313125E7,1320,2732525,4.830696882919644E-4,Anne Olwada,6.8313125E7,1320,2732525,4.830696882919644E-4,Immanuel Karagianni,6.8313125E7,1320,2732525,4.830696882919644E-4,Elvira Lores,6.8313125E7,1380,2732525,5.050274013961446E-4,Penn Osterwalder,6.8313125E7,1380,2732525,5.050274013961446E-4
Role_10,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,2.04939375E8,40685.0,45440.0,41694.0,40685.0,45440.0,42606.333333333336,127819.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,8197575.0,0.014889159294059524,0.016629308057565805,0.015258414836094822,0.014889159294059524,0.016629308057565805,0.015592294062573384,0.04677688218772015,Karel de Groot,6.8313125E7,45440,2732525,0.016629308057565805,Magdalena Predutta,6.8313125E7,40685,2732525,0.014889159294059524,Francois de Perrier,6.8313125E7,41694,2732525,0.015258414836094822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,4.918545E7,4.918545E7,4.918545E7,4.918545E7,4.918545E7,4.918545E7,2.4592725E8,48630.0,57490.0,50815.0,48970.0,55820.0,52345.0,261725.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,1.3662625E7,0.01779672647093805,0.02103914877265533,0.01859635318981528,0.01792115351186174,0.020427992424588978,0.01915627487397188,0.0957813743698594,Carmen Finacse,4.918545E7,50815,2732525,0.01859635318981528,Esmeralda Clay,4.918545E7,57490,2732525,0.02103914877265533,Karen Clarens,4.918545E7,48970,2732525,0.01792115351186174,Kiu Kan,4.918545E7,48630,2732525,0.01779672647093805,Sean Manney,4.918545E7,55820,2732525,0.020427992424588978,,,,,,,,,,,,,,,,,,,,,,,,,
Role_16,3.0057775E7,3.0057775E7,3.0057775E7,3.0057775E7,3.0057775E7,3.0057775E7,6.011555E7,29791.0,30613.0,29791.0,29791.0,30613.0,30202.0,60404.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,5465050.0,0.010902370518110539,0.011203191187637808,0.010902370518110539,0.010902370518110539,0.011203191187637808,0.011052780852874172,0.022105561705748344,Pedro Alvares,3.0057775E7,30613,2732525,0.011203191187637808,Karalda Nimwada,3.0057775E7,29791,2732525,0.010902370518110539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.0057775E7,3.0057775E7,3.0057775E7,3.0057775E7,3.0057775E7,3.0057775E7,6.011555E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,5465050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,3.0057775E7,0,2732525,0.0,Karalda Nimwada,3.0057775E7,0,2732525,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_14,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,2.04939375E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,8197575.0,0.001646828482813515,0.001646828482813515,0.001646828482813515,0.001646828482813515,0.001646828482813515,0.001646828482813515,0.004940485448440545,Karel de Groot,6.8313125E7,4500,2732525,0.001646828482813515,Magdalena Predutta,6.8313125E7,4500,2732525,0.001646828482813515,Francois de Perrier,6.8313125E7,4500,2732525,0.001646828482813515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,4.918545E7,4.918545E7,4.918545E7,4.918545E7,4.918545E7,4.918545E7,2.4592725E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,1.3662625E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,4.918545E7,0,2732525,0.0,Esmeralda Clay,4.918545E7,0,2732525,0.0,Karen Clarens,4.918545E7,0,2732525,0.0,Kiu Kan,4.918545E7,0,2732525,0.0,Sean Manney,4.918545E7,0,2732525,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,2.04939375E8,2489035.0,2508377.0,2499444.0,2489035.0,2508377.0,2498952.0,7496856.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,8197575.0,0.910891940604386,0.9179703753854036,0.9147012378660763,0.910891940604386,0.9179703753854036,0.914521184618622,2.743563553855866,Karel de Groot,6.8313125E7,2508377,2732525,0.9179703753854036,Magdalena Predutta,6.8313125E7,2499444,2732525,0.9147012378660763,Francois de Perrier,6.8313125E7,2489035,2732525,0.910891940604386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,6.8313125E7,2.04939375E8,99710.0,107500.0,106888.0,99710.0,107500.0,104699.33333333333,314098.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,2732525.0,8197575.0,0.03649005956029679,0.039340902644989524,0.03911693397132689,0.03649005956029679,0.039340902644989524,0.038315965392204394,0.11494789617661319,Karel de Groot,6.8313125E7,107500,2732525,0.039340902644989524,Magdalena Predutta,6.8313125E7,99710,2732525,0.03649005956029679,Francois de Perrier,6.8313125E7,106888,2732525,0.03911693397132689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
