type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload
Role_12,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,2.4584409E8,4187672.0,4291962.0,4214546.0,4193871.0,4223010.0,4222212.2,2.1111061E7,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,1.3658005E7,1.5330467370600611,1.5712258122617468,1.5428849235301936,1.535316102168655,1.5459834726960489,1.5456914095433412,7.728457047716706,Carmen Finacse,4.9168818E7,4291962,2731601,1.5712258122617468,Esmeralda Clay,4.9168818E7,4187672,2731601,1.5330467370600611,Karen Clarens,4.9168818E7,4223010,2731601,1.5459834726960489,Kiu Kan,4.9168818E7,4214546,2731601,1.5428849235301936,Sean Manney,4.9168818E7,4193871,2731601,1.535316102168655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,7.51190275E8,1200.0,1260.0,1200.0,1200.0,1260.0,1227.2727272727273,13500.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,3.0047611E7,4.3930281179425544E-4,4.6126795238396825E-4,4.3930281179425544E-4,4.3930281179425544E-4,4.6126795238396825E-4,4.492869666077612E-4,0.004942156632685373,Clement Duchot,6.8290025E7,1260,2731601,4.6126795238396825E-4,Christian Francois,6.8290025E7,1260,2731601,4.6126795238396825E-4,Anna Kaufmann,6.8290025E7,1200,2731601,4.3930281179425544E-4,Miu Hanwan,6.8290025E7,1200,2731601,4.3930281179425544E-4,Nico Ojenbeer,6.8290025E7,1200,2731601,4.3930281179425544E-4,Fjodor Kowalski,6.8290025E7,1200,2731601,4.3930281179425544E-4,Tesca Lobes,6.8290025E7,1200,2731601,4.3930281179425544E-4,Anne Olwada,6.8290025E7,1260,2731601,4.6126795238396825E-4,Immanuel Karagianni,6.8290025E7,1200,2731601,4.3930281179425544E-4,Elvira Lores,6.8290025E7,1260,2731601,4.6126795238396825E-4,Penn Osterwalder,6.8290025E7,1260,2731601,4.6126795238396825E-4
Role_10,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,2.04870075E8,41179.0,44946.0,41694.0,41179.0,44946.0,42606.333333333336,127819.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,8194803.0,0.01507504207239637,0.01645408681575384,0.015263576195791407,0.01507504207239637,0.01645408681575384,0.015597568361313872,0.046792705083941614,Karel de Groot,6.8290025E7,41179,2731601,0.01507504207239637,Magdalena Predutta,6.8290025E7,44946,2731601,0.01645408681575384,Francois de Perrier,6.8290025E7,41694,2731601,0.015263576195791407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,2.4584409E8,48970.0,55930.0,50815.0,50190.0,55820.0,52345.0,261725.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,1.3658005E7,0.017927215577970574,0.020475171886377257,0.018602643651104242,0.018373840103294733,0.020434902461962782,0.01916275473614192,0.09581377368070959,Carmen Finacse,4.9168818E7,50815,2731601,0.018602643651104242,Esmeralda Clay,4.9168818E7,50190,2731601,0.018373840103294733,Karen Clarens,4.9168818E7,48970,2731601,0.017927215577970574,Kiu Kan,4.9168818E7,55930,2731601,0.020475171886377257,Sean Manney,4.9168818E7,55820,2731601,0.020434902461962782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_16,3.0047611E7,3.0047611E7,3.0047611E7,3.0047611E7,3.0047611E7,3.0047611E7,6.0095222E7,29610.0,30794.0,29610.0,29610.0,30794.0,30202.0,60404.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,5463202.0,0.010839796881023253,0.011273242321993586,0.010839796881023253,0.010839796881023253,0.011273242321993586,0.01105651960150842,0.02211303920301684,Pedro Alvares,3.0047611E7,30794,2731601,0.011273242321993586,Karalda Nimwada,3.0047611E7,29610,2731601,0.010839796881023253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.0047611E7,3.0047611E7,3.0047611E7,3.0047611E7,3.0047611E7,3.0047611E7,6.0095222E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,5463202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,3.0047611E7,0,2731601,0.0,Karalda Nimwada,3.0047611E7,0,2731601,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_14,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,2.04870075E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,8194803.0,0.001647385544228458,0.001647385544228458,0.001647385544228458,0.001647385544228458,0.001647385544228458,0.001647385544228458,0.004942156632685374,Karel de Groot,6.8290025E7,4500,2731601,0.001647385544228458,Magdalena Predutta,6.8290025E7,4500,2731601,0.001647385544228458,Francois de Perrier,6.8290025E7,4500,2731601,0.001647385544228458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,4.9168818E7,2.4584409E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,1.3658005E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,4.9168818E7,0,2731601,0.0,Esmeralda Clay,4.9168818E7,0,2731601,0.0,Karen Clarens,4.9168818E7,0,2731601,0.0,Kiu Kan,4.9168818E7,0,2731601,0.0,Sean Manney,4.9168818E7,0,2731601,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,2.04870075E8,2489035.0,2511988.0,2495833.0,2489035.0,2511988.0,2498952.0,7496856.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,8194803.0,0.9112000617952621,0.9196028263278568,0.9136887122240767,0.9112000617952621,0.9196028263278568,0.9148305334490653,2.744491600347196,Karel de Groot,6.8290025E7,2511988,2731601,0.9196028263278568,Magdalena Predutta,6.8290025E7,2495833,2731601,0.9136887122240767,Francois de Perrier,6.8290025E7,2489035,2731601,0.9112000617952621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,6.8290025E7,2.04870075E8,99710.0,107686.0,106702.0,99710.0,107686.0,104699.33333333333,314098.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,2731601.0,8194803.0,0.03650240280333768,0.03942230215906349,0.03906207385339221,0.03650240280333768,0.03942230215906349,0.03832892627193112,0.11498677881579338,Karel de Groot,6.8290025E7,107686,2731601,0.03942230215906349,Magdalena Predutta,6.8290025E7,99710,2731601,0.03650240280333768,Francois de Perrier,6.8290025E7,106702,2731601,0.03906207385339221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
