type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload,instances_instance_9_id,instances_instance_9_cost,instances_instance_9_time_inUse,instances_instance_9_time_available,instances_instance_9_time_workload,instances_instance_10_id,instances_instance_10_cost,instances_instance_10_time_inUse,instances_instance_10_time_available,instances_instance_10_time_workload,instances_instance_11_id,instances_instance_11_cost,instances_instance_11_time_inUse,instances_instance_11_time_available,instances_instance_11_time_workload,instances_instance_12_id,instances_instance_12_cost,instances_instance_12_time_inUse,instances_instance_12_time_available,instances_instance_12_time_workload
Role_12,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,2.4568668E8,4187672.0,4291962.0,4214546.0,4193871.0,4223010.0,4222212.2,2.1111061E7,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,1.364926E7,1.5340289510200553,1.5722324873289835,1.5438734407579604,1.5362997700974266,1.5469739751459053,1.5466817248700664,7.733408624350332,Carmen Finacse,4.9137336E7,4291962,2729852,1.5722324873289835,Esmeralda Clay,4.9137336E7,4187672,2729852,1.5340289510200553,Karen Clarens,4.9137336E7,4223010,2729852,1.5469739751459053,Kiu Kan,4.9137336E7,4214546,2729852,1.5438734407579604,Sean Manney,4.9137336E7,4193871,2729852,1.5362997700974266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_13,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,8.872019E8,1020.0,1080.0,1020.0,1020.0,1080.0,1038.4615384615386,13500.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,3.5488076E7,3.736466299271902E-4,3.9562584345231904E-4,3.736466299271902E-4,3.736466299271902E-4,3.9562584345231904E-4,3.804094648579992E-4,0.00494532304315399,Clement Duchot,6.82463E7,1080,2729852,3.9562584345231904E-4,Nico Ojenbeer,6.82463E7,1080,2729852,3.9562584345231904E-4,Fjodor Kowalski,6.82463E7,1020,2729852,3.736466299271902E-4,Elvira Lores,6.82463E7,1020,2729852,3.736466299271902E-4,Esmana Liubiata,6.82463E7,1020,2729852,3.736466299271902E-4,Alberto Duport,6.82463E7,1020,2729852,3.736466299271902E-4,Christian Francois,6.82463E7,1020,2729852,3.736466299271902E-4,Anna Kaufmann,6.82463E7,1020,2729852,3.736466299271902E-4,Miu Hanwan,6.82463E7,1020,2729852,3.736466299271902E-4,Tesca Lobes,6.82463E7,1020,2729852,3.736466299271902E-4,Anne Olwada,6.82463E7,1080,2729852,3.9562584345231904E-4,Immanuel Karagianni,6.82463E7,1020,2729852,3.736466299271902E-4,Penn Osterwalder,6.82463E7,1080,2729852,3.9562584345231904E-4
Role_10,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,2.047389E8,41179.0,44946.0,41694.0,41179.0,44946.0,42606.333333333336,127819.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,8189556.0,0.015084700562521338,0.01646462885167401,0.015273355478612027,0.015084700562521338,0.01646462885167401,0.01560756163093579,0.04682268489280737,Karel de Groot,6.82463E7,41179,2729852,0.015084700562521338,Magdalena Predutta,6.82463E7,44946,2729852,0.01646462885167401,Francois de Perrier,6.82463E7,41694,2729852,0.015273355478612027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_11,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,2.4568668E8,48970.0,56248.0,50815.0,49872.0,55820.0,52345.0,261725.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,1.364926E7,0.01793870143875932,0.020604780039357444,0.01861456225465703,0.01826912228208709,0.020447994982878193,0.019175032199547814,0.09587516099773907,Carmen Finacse,4.9137336E7,50815,2729852,0.01861456225465703,Esmeralda Clay,4.9137336E7,56248,2729852,0.020604780039357444,Karen Clarens,4.9137336E7,48970,2729852,0.01793870143875932,Kiu Kan,4.9137336E7,49872,2729852,0.01826912228208709,Sean Manney,4.9137336E7,55820,2729852,0.020447994982878193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_16,3.0028372E7,3.0028372E7,3.0028372E7,3.0028372E7,3.0028372E7,3.0028372E7,6.0056744E7,29610.0,30794.0,29610.0,29610.0,30794.0,30202.0,60404.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,5459704.0,0.01084674187465108,0.011280465021546955,0.01084674187465108,0.01084674187465108,0.011280465021546955,0.011063603448099018,0.022127206896198036,Pedro Alvares,3.0028372E7,30794,2729852,0.011280465021546955,Karalda Nimwada,3.0028372E7,29610,2729852,0.01084674187465108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,3.0028372E7,3.0028372E7,3.0028372E7,3.0028372E7,3.0028372E7,3.0028372E7,6.0056744E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,5459704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Alvares,3.0028372E7,0,2729852,0.0,Karalda Nimwada,3.0028372E7,0,2729852,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_14,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,2.047389E8,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,13500.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,8189556.0,0.0016484410143846626,0.0016484410143846626,0.0016484410143846626,0.0016484410143846626,0.0016484410143846626,0.0016484410143846626,0.004945323043153988,Karel de Groot,6.82463E7,4500,2729852,0.0016484410143846626,Magdalena Predutta,6.82463E7,4500,2729852,0.0016484410143846626,Francois de Perrier,6.82463E7,4500,2729852,0.0016484410143846626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_15,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,4.9137336E7,2.4568668E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,1.364926E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carmen Finacse,4.9137336E7,0,2729852,0.0,Esmeralda Clay,4.9137336E7,0,2729852,0.0,Karen Clarens,4.9137336E7,0,2729852,0.0,Kiu Kan,4.9137336E7,0,2729852,0.0,Sean Manney,4.9137336E7,0,2729852,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_9,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,2.047389E8,2482726.0,2511988.0,2502142.0,2482726.0,2511988.0,2498952.0,7496856.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,8189556.0,0.9094727479731501,0.9201920104093555,0.9165852214698819,0.9094727479731501,0.9201920104093555,0.9154166599507958,2.7462499798523874,Karel de Groot,6.82463E7,2511988,2729852,0.9201920104093555,Magdalena Predutta,6.82463E7,2482726,2729852,0.9094727479731501,Francois de Perrier,6.82463E7,2502142,2729852,0.9165852214698819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_5,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,6.82463E7,2.047389E8,103335.0,106009.0,104754.0,103335.0,106009.0,104699.33333333333,314098.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,2729852.0,8189556.0,0.037853700493653136,0.03883324077642304,0.03837350889352243,0.037853700493653136,0.03883324077642304,0.0383534833878662,0.1150604501635986,Karel de Groot,6.82463E7,103335,2729852,0.037853700493653136,Magdalena Predutta,6.82463E7,106009,2729852,0.03883324077642304,Francois de Perrier,6.82463E7,104754,2729852,0.03837350889352243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
