,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,25.0,,,14.0,14.0,[ 5  6 11  8  4  7  7  5  5  9  7  4  8  2  0],"['Tesca Lobes', 'Clement Duchot', 'Kim Passa', 'Anna Kaufmann', 'Miu Hanwan', 'Anne Olwada', 'Alberto Duport', 'Esmana Liubiata', 'Fjodor Kowalski', 'Christian Francois', 'Penn Osterwalder', 'Nico Ojenbeer', 'Elvira Lores', 'Immanuel Karagianni']",Role 1,,Role_1,,Create Purchase Requisition
1,,19.0,,,3.0,3.0,[28 32 28  0  0  0  0  0  0  0  0  0  0  0  0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 2,,Role_2,,Analyze Purchase Requisition
2,,19.0,,,8.0,3.0,[28 27 33  0  0  0  0  0  0  0  0  0  0  0  0],"['Heinz Gutschmidt', 'Maris Freeman', 'Francis Odell']",Role 3,,Role_3,,Create Request for Quotation
3,,25.0,,,0.0,3.0,[31 30 27  0  0  0  0  0  0  0  0  0  0  0  0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 4,,Role_4,,Analyze Request for Quotation
4,,25.0,,,9.0,3.0,[24 34 30  0  0  0  0  0  0  0  0  0  0  0  0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 5,,Role_5,,Send Request for Quotation to Supplier
5,,25.0,,,7.0,3.0,[36 22 30  0  0  0  0  0  0  0  0  0  0  0  0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 6,,Role_6,,Create Quotation comparison Map
6,,25.0,,,6.0,14.0,[12  5  5  6  3  7  9  7  4  8  8  7  6  1  0],"['Tesca Lobes', 'Clement Duchot', 'Kim Passa', 'Anna Kaufmann', 'Miu Hanwan', 'Anne Olwada', 'Alberto Duport', 'Esmana Liubiata', 'Fjodor Kowalski', 'Christian Francois', 'Penn Osterwalder', 'Nico Ojenbeer', 'Elvira Lores', 'Immanuel Karagianni']",Role 7,,Role_7,,Analyze Quotation Comparison Map
7,,25.0,,,4.0,14.0,[6 7 6 5 6 6 8 7 9 3 6 6 6 7 0],"['Tesca Lobes', 'Clement Duchot', 'Kim Passa', 'Anna Kaufmann', 'Miu Hanwan', 'Anne Olwada', 'Alberto Duport', 'Esmana Liubiata', 'Fjodor Kowalski', 'Christian Francois', 'Penn Osterwalder', 'Nico Ojenbeer', 'Elvira Lores', 'Immanuel Karagianni']",Role 8,,Role_8,,Choose best option
8,,25.0,,,17.0,3.0,[32 31 25  0  0  0  0  0  0  0  0  0  0  0  0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 9,,Role_9,,Settle Conditions With Supplier
9,,25.0,,,15.0,3.0,[28 32 28  0  0  0  0  0  0  0  0  0  0  0  0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 10,,Role_10,,Create Purchase Order
10,,18.0,,,10.0,5.0,[24 11 21 16 16  0  0  0  0  0  0  0  0  0  0],"['Kiu Kan', 'Esmeralda Clay', 'Carmen Finacse', 'Sean Manney', 'Karen Clarens']",Role 11,,Role_11,,Confirm Purchase Order
11,,18.0,,,5.0,5.0,[20 20 13 16 19  0  0  0  0  0  0  0  0  0  0],"['Kiu Kan', 'Esmeralda Clay', 'Carmen Finacse', 'Sean Manney', 'Karen Clarens']",Role 12,,Role_12,,Deliver Goods Services
12,,25.0,,,1.0,14.0,[ 7  7  2  6 11  7  3  2  8  5  6  6  8 10  0],"['Tesca Lobes', 'Clement Duchot', 'Kim Passa', 'Anna Kaufmann', 'Miu Hanwan', 'Anne Olwada', 'Alberto Duport', 'Esmana Liubiata', 'Fjodor Kowalski', 'Christian Francois', 'Penn Osterwalder', 'Nico Ojenbeer', 'Elvira Lores', 'Immanuel Karagianni']",Role 13,,Role_13,,Release Purchase Order
13,,25.0,,,16.0,3.0,[27 33 28  0  0  0  0  0  0  0  0  0  0  0  0],"['Magdalena Predutta', 'Karel de Groot', 'Francois de Perrier']",Role 14,,Role_14,,Approve Purchase Order for payment
14,,18.0,,,11.0,5.0,[24 19 14 16 15  0  0  0  0  0  0  0  0  0  0],"['Kiu Kan', 'Esmeralda Clay', 'Carmen Finacse', 'Sean Manney', 'Karen Clarens']",Role 15,,Role_15,,Send Invoice
15,,11.0,,,2.0,2.0,[37 51  0  0  0  0  0  0  0  0  0  0  0  0  0],"['Pedro Alvares', 'Karalda Nimwada']",Role 16,,Role_16,,Release Supplier's Invoice
16,,11.0,,,13.0,2.0,[38 50  0  0  0  0  0  0  0  0  0  0  0  0  0],"['Pedro Alvares', 'Karalda Nimwada']",Role 17,,Role_17,,Authorize Supplier's Invoice payment
17,,11.0,,,12.0,2.0,[48 40  0  0  0  0  0  0  0  0  0  0  0  0  0],"['Pedro Alvares', 'Karalda Nimwada']",Role 18,,Role_18,,Pay Invoice
0,,25.0,25.0,18000.0,,,,Tesca Lobes,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,25.0,25.0,21180.0,,,,Clement Duchot,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
